Sub-District Name,Village Code,Village Name English,Village Name Local,Village Status
Ausa,560756,Ganni,गन्नी,Inhabitant
Ausa,560757,Gatwadi,गटवाडी,Inhabitant
Ausa,560758,Gaur,गौंडगाव,Inhabitant
Ausa,560759,Gharani,घरणी,Inhabitant
Ausa,560760,Gondri,गोंद्री,Inhabitant
Ausa,560761,Gubal,गुबाळ,Inhabitant
Ausa,560762,Haregaon,हरेगाव,Inhabitant
Ausa,560763,Hasala,हासळा,Inhabitant
Ausa,560764,Hasangani,हासंगणी,Inhabitant
Ausa,560765,Hipperga,हिप्परगा,Inhabitant
Ausa,560766,Hipli,हिपळी,Inhabitant
Ausa,560767,Holi,होळी,Inhabitant
Ausa,560768,Huljanti,हुळजंती,Inhabitant
Ausa,560769,Hutga,हुटगा,Inhabitant
Ausa,560770,Ibrahampur,इब्राहिमपूर,Inhabitant
Ausa,560771,Jalni,जाळणी,Inhabitant
Ausa,560772,Jawali,जवळी,Inhabitant
Ausa,560773,Jeur,जेऊर,Inhabitant
Ausa,560774,Kada,काडा,Inhabitant
Ausa,560775,Kalmat,कळमट,Inhabitant
Ausa,560776,Karajga,करजगा,Inhabitant
Ausa,560777,Kalligaon,कल्लीगाव,Inhabitant
Ausa,560778,Karla,कार्ला,Inhabitant
Ausa,560779,Karajgaon,करजगाव,Inhabitant
Ausa,560780,Kesarjawga,केसरजवळगा,Inhabitant
Ausa,560781,Khadki,खडकी,Inhabitant
Ausa,560782,Kallikhadki,कल्लीखडकी,Inhabitant
Ausa,560783,Kharosa,खरोसा,Inhabitant
Ausa,560784,Killari,किल्लारी,Inhabitant
Ausa,560785,Kini thot,किनीथोट,Inhabitant
Ausa,560786,Kini nav,किनीनवा,Inhabitant
Ausa,560787,Koraali,कोराळी,Inhabitant
Ausa,560788,Kumtha,कुमठा,Inhabitant
Ausa,560789,Lakhangaon,लाखणगाव,Inhabitant
Ausa,560790,Lamjana,लामजना,Inhabitant
Ausa,560791,Lodga,लोडगा,Inhabitant
Ausa,560792,Mahanandpur,महानंदपूर,Inhabitant
Ausa,560793,Malkondji,मळकोंडजी,Inhabitant
Ausa,560794,Malumbra,मलुंब्रा,Inhabitant
Ausa,560795,Mangrul,मांगरूळ,Inhabitant
Ausa,560796,Masurdi,मसूर्डी,Inhabitant
Ausa,560797,Matola,मातोळा,Inhabitant
Ausa,560798,Mogadpur,मोगदपूर,Inhabitant
Ausa,560799,Mugi,मुगी,Inhabitant
Ausa,560800,Mukatpur,मुकुटपूर,Inhabitant
Ausa,560801,Mulkhed,मुळखेड,Inhabitant
Ausa,560802,Nagarsoga,नगरसोगा,Inhabitant
Ausa,560803,Nandurga,नांदुर्गा,Inhabitant
Ausa,560804,Nandwadवाडी,नांदवडेवाडी,Inhabitant
Ausa,560805,Omerga,उमरगा,Inhabitant
Ausa,560806,Pardhewadi,पारधेवाडी,Inhabitant
Ausa,560807,Peth,पेठ,Inhabitant
Ausa,560808,Rajanwadi,राजनवाडी,Inhabitant
Ausa,560809,Ramegaon,रामेगाव,Inhabitant
Ausa,560810,Ringni,रिंगणी,Inhabitant
Ausa,560811,Rudrawadi,रुद्रवाडी,Inhabitant
Ausa,560812,Sarola,सारोळा,Inhabitant
Ausa,560813,Satdharwadi,सातधारवाडी,Inhabitant
Ausa,560814,Selu,शेलू,Inhabitant
Ausa,560815,Shengav,शेणगाव,Inhabitant
Ausa,560816,Sindala v.,शिंदाळा वे.,Inhabitant
Ausa,560817,Sindala l.,शिंदाळा ला.,Inhabitant
Ausa,560818,Singoli,सिंगोळी,Inhabitant
Ausa,560819,Sirsal,शिरसाळ,Inhabitant
Ausa,560820,Somnathpur,सोमनाथपूर,Inhabitant
Ausa,560821,Sultanpur,सुल्तानपूर,Inhabitant
Ausa,560822,Taka,ताका,Inhabitant
Ausa,560823,Tandulja,तांदुळजा,Inhabitant
Ausa,560824,Tavshi gad,तवशीगड,Inhabitant
Ausa,560825,Tungi b.,तुंगी बु.,Inhabitant
Ausa,560826,Tungi kh.,तुंगी खु.,Inhabitant
Ausa,560827,Uajni,उजनी,Inhabitant
Ausa,560828,Usturi,उस्तुरी,Inhabitant
Ausa,560829,Utka,उतका,Inhabitant
Ausa,560830,Wadhona,वाढोणा,Inhabitant
Ausa,560831,Wagholi,वाघोली,Inhabitant
Ausa,560832,Wanji,वांजी,Inhabitant
Ausa,560833,Warwada,वरवडा,Inhabitant
Ausa,560834,Yakatpur,याकतपूर,Inhabitant
Ausa,560835,Yeli,येळी,Inhabitant
Ausa,560836,Zaavari,झावरी,Inhabitant
Chakur,560470,Algapur,अळगापूर,Inhabitant
Chakur,560471,Amgavan,आमगव्हान,Inhabitant
Chakur,560472,Anandwadi,आनंदवाडी,Inhabitant
Chakur,560473,Ashta,आष्टा,Inhabitant
Chakur,560474,Atnoor,अतणूर,Inhabitant
Chakur,560475,Banegaon,बाणेगाव,Inhabitant
Chakur,560476,Bhatangali,भातांगली,Inhabitant
Chakur,560477,Bhavthanवाडी,भवथानवाडी,Inhabitant
Chakur,560478,Bolarwadi,बोळारवाडी,Inhabitant
Chakur,560479,Borgavan,बोरगव्हाण,Inhabitant
Chakur,560480,Brahmawadi,ब्रह्मवाडी,Inhabitant
Chakur,560481,Chakur,चाकूर,Inhabitant
Chakur,560482,Chapoli,चपोली,Inhabitant
Chakur,560483,Chavlewadi,चावळेवाडी,Inhabitant
Chakur,560484,Chikhalthana,चिखलठाणा,Inhabitant
Chakur,560485,Dabka,दाबका,Inhabitant
Chakur,560486,Daithna,दैठणा,Inhabitant
Chakur,560487,Deonagarवाडी,देवनगरवाडी,Inhabitant
Chakur,560488,Deowadi,देववाडी,Inhabitant
Chakur,560489,Dhaga,धागा,Inhabitant
Chakur,560490,Dongraj,डोंगराज,Inhabitant
Chakur,560491,Ganjankheda,गांजनखेडा,Inhabitant
Chakur,560492,Gharani,घरणी,Inhabitant
Chakur,560493,Gharola,घरोळा,Inhabitant
Chakur,560494,Gorewadi,गोरेवाडी,Inhabitant
Chakur,560495,Hanmantwadi,हनमंतवाडी,Inhabitant
Chakur,560496,Hatkarwadi,हटकरवाडी,Inhabitant
Chakur,560497,Hipperga,हिप्परगा,Inhabitant
Chakur,560498,Holi,होळी,Inhabitant
Chakur,560499,Hanamantwadi,हनमंतवाडी,Inhabitant
Chakur,560500,Jahangirpur,जहांगीरपूर,Inhabitant
Chakur,560501,Janwal,जाणवळ,Inhabitant
Chakur,560502,Kabansangvi,कबनसांगवी,Inhabitant
Chakur,560503,Kakandi,काकंदी,Inhabitant
Chakur,560504,Kalga,काळगा,Inhabitant
Chakur,560505,Kandharpur,कंधारपूर,Inhabitant
Chakur,560506,Kapoornavadi,कपूरवाडी,Inhabitant
Chakur,560507,Kari,कारी,Inhabitant
Chakur,560508,Kasarkheda,कासारखेडा,Inhabitant
Chakur,560509,Kati,काटी,Inhabitant
Chakur,560510,Kawalgaon,कवळगाव,Inhabitant
Chakur,560511,Kendre Wadi,केंद्रेवाडी,Inhabitant
Chakur,560512,Khalangri,खळंग्री,Inhabitant
Chakur,560513,Lakkadajawga,लक्कडजवळगा,Inhabitant
Chakur,560514,Laturwadi,लातूरवाडी,Inhabitant
Chakur,560515,Limbalwadi,लिंबाळवाडी,Inhabitant
Chakur,560516,Mahadupur,महादुपूर,Inhabitant
Chakur,560517,Mahalangi,महालंगी,Inhabitant
Chakur,560518,Malegaon,मालेगाव,Inhabitant
Chakur,560519,Mohnal,मोहनळ,Inhabitant
Chakur,560520,Murambi,मुरंबी,Inhabitant
Chakur,560521,Nandgaon,नांदगाव,Inhabitant
Ahmadpur,560438,Nandura Kh.,नांदुरा खुर्द,Inhabitant
Chakur,560522,Nandura b.,नांदुरा बु.,Inhabitant
Chakur,560523,Nava,नवा,Inhabitant
Chakur,560524,Nagdarवाडी,नागदरवाडी,Inhabitant
Chakur,560525,Naigaon,नायगाव,Inhabitant
Chakur,560526,Panchincholi,पानचिंचोली,Inhabitant
Chakur,560527,Pargaon,पारगाव,Inhabitant
Chakur,560528,Patoda,पाटोदा,Inhabitant
Chakur,560529,Patoda r,पाटोदा (रा), Inhabitant
Chakur,560530,Raajewadi,राजेवाडी,Inhabitant
Chakur,560531,Ramegaon,रामेगाव,Inhabitant
Chakur,560532,Rana,राणा,Inhabitant
Chakur,560533,Rawankola,रावणकोळा,Inhabitant
Chakur,560534,Rohanwadi,रोहणवाडी,Inhabitant
Chakur,560535,Rui,रुई,Inhabitant
Chakur,560536,Sangvi,सांगवी,Inhabitant
Chakur,560537,Sankral,सांकराळ,Inhabitant
Chakur,560538,Sawargaon,सावरगाव,Inhabitant
Chakur,560539,Shandol,शेंदोळ,Inhabitant
Chakur,560540,Shelgaon,शेलगाव,Inhabitant
Chakur,560541,Shirnal,शिरनाळ,Inhabitant
Chakur,560542,Shivankhed m,शिवाणखेड मै,Inhabitant
Chakur,560543,Sugav,सुगाव,Inhabitant
Chakur,560544,Takalgaon,टाकळगाव,Inhabitant
Chakur,560545,Tandulwadi,तांदुळवाडी,Inhabitant
Chakur,560546,Tewari,तेवरी,Inhabitant
Chakur,560547,Tipral,तिप्राळ,Inhabitant
Chakur,560548,Udaswadi,उदासवाडी,Inhabitant
Chakur,560549,Vadgaon,वडगाव,Inhabitant
Chakur,560550,Vaddawadi,वड्डावाडी,Inhabitant
Chakur,560551,Wagholi,वाघोली,Inhabitant
Chakur,560552,Wadwal N.,वडवळ ना.,Inhabitant
Chakur,560553,Yelnor,येलनूर,Inhabitant
Chakur,560554,Zari b,झरी बु.,Inhabitant
Deoni,560678,Achegaon,अचेगाव,Inhabitant
Deoni,560679,Ambanagar,अंबानगर,Inhabitant
Deoni,560680,Anandwadi,आनंदवाडी,Inhabitant
Deoni,560681,Bhojwadi,भोजवाडी,Inhabitant
Deoni,560682,Bonawal,बोनावळ,Inhabitant
Deoni,560683,Borgaon,बोरगाव,Inhabitant
Deoni,560684,Chavanवाडी,चव्हाणवाडी,Inhabitant
Deoni,560685,Chikli,चिखली,Inhabitant
Deoni,560686,Danknal,दांकनाळ,Inhabitant
Deoni,560687,Deoni b,देवणी बु.,Inhabitant
Deoni,560688,Deoni kh,देवणी खु.,Inhabitant
Deoni,560689,Dhanegaon,धनेगाव,Inhabitant
Deoni,560690,Dhavlewadi,धोवळेवाडी,Inhabitant
Deoni,560691,Dongargaon,डोंगरगाव,Inhabitant
Deoni,560692,Gaikwadवाडी,गायकवाडवाडी,Inhabitant
Deoni,560693,Girani,गिराणी,Inhabitant
Deoni,560694,Gojegaon,गोजेगाव,Inhabitant
Deoni,560695,Gurhal,गूर्हाळ,Inhabitant
Deoni,560696,Hanmantwadi,हनमंतवाडी,Inhabitant
Deoni,560697,Heera,हिरा,Inhabitant
Deoni,560698,Hipperga,हिप्परगा,Inhabitant
Deoni,560699,Honali,होनळी,Inhabitant
Deoni,560700,Isamalpur,इसमाळपूर,Inhabitant
Deoni,560701,Jawali,जवळी,Inhabitant
Deoni,560702,Kamalwadi,कमळवाडी,Inhabitant
Deoni,560703,Kamroon nav,कमरूननवा,Inhabitant
Deoni,560704,Kamroon thot,कमरूनथोट,Inhabitant
Deoni,560705,Kelewadi,केळेवाडी,Inhabitant
Deoni,560706,Konali,कोनाळी,Inhabitant
Deoni,560707,Lavanwadi,लवणवाडी,Inhabitant
Deoni,560708,Marsangvi,मरसांगवी,Inhabitant
Deoni,560709,Mhasalwadi,म्हासाळवाडी,Inhabitant
Deoni,560710,Nagral,नाग्राळ,Inhabitant
Deoni,560711,Neknal,नेकनाळ,Inhabitant
Deoni,560712,Pandhri,पांढरी,Inhabitant
Deoni,560713,Sallgara,साळगरा,Inhabitant
Deoni,560714,Sangvi,सांगवी,Inhabitant
Deoni,560715,Savalasur,सावळसूर,Inhabitant
Deoni,560716,Sayyadpur,सय्यदपूर,Inhabitant
Deoni,560717,Shindala b,शिंदाळा बु.,Inhabitant
Deoni,560718,Shindala kh,शिंदाळा खु.,Inhabitant
Deoni,560719,Shivneri,शिवनेरी,Inhabitant
Deoni,560720,Takaral,टाकराळ,Inhabitant
Deoni,560721,Talvegad,ताळवेगड,Inhabitant
Deoni,560722,Tandulja,तांदुळजा,Inhabitant
Deoni,560723,Vaddawadi,वड्डावाडी,Inhabitant
Deoni,560724,Vagdari,वागदरी,Inhabitant
Deoni,560725,Valkhed,वळखेड,Inhabitant
Deoni,560726,Valandi,वढवणी,Inhabitant
Deoni,560727,Viajyanagar,विजयनगर,Inhabitant
Deoni,560728,Vithalwadi,विठ्ठलवाडी,Inhabitant
Deoni,560729,Waghnnal,वाघनाळ,Inhabitant
Deoni,560730,Walndi wadi,वाळंदीवाडी,Inhabitant
Jalkot,560418,Ashta,आष्टा,Inhabitant
Jalkot,560555,Atnoor,अतणूर,Inhabitant
Jalkot,560556,Bhartwadi,भारतवाडी,Inhabitant
Jalkot,560557,Bhavthanवाडी,भवथानवाडी,Inhabitant
Jalkot,560558,Bokkangaon,बोकणगाव,Inhabitant
Jalkot,560559,Chincholi,चिंचोली,Inhabitant
Jalkot,560560,Dhamangaon,धामणगाव,Inhabitant
Jalkot,560561,Dhoki,ढोकी,Inhabitant
Jalkot,560562,Domgavan,डोमगव्हान,Inhabitant
Jalkot,560563,Eklara,एकलारा,Inhabitant
Jalkot,560564,Ghadaleवाडी,घादळेवाडी,Inhabitant
Jalkot,560565,Ghorwadi,घोरवाडी,Inhabitant
Jalkot,560566,Gonav,गोणाव,Inhabitant
Jalkot,560567,Haibatpur,हैबतपूर,Inhabitant
Jalkot,560568,Hallali,हल्लाळी,Inhabitant
Jalkot,560569,Hipperga b.,हिप्परगा बु.,Inhabitant
Jalkot,560570,Jagdalwadi,जगदळवाडी,Inhabitant
Jalkot,560571,Jalkot,जळकोट,Inhabitant
Jalkot,560572,Jiratwadi,जिरतवाडी,Inhabitant
Jalkot,560573,Karanji,करंजी,Inhabitant
Jalkot,560574,Kekatshindala,केकतशिंदाळा,Inhabitant
Jalkot,560575,Khadki,खडकी,Inhabitant
Jalkot,560576,Konav,कोणव,Inhabitant
Jalkot,560577,Kunki,कुणकी,Inhabitant
Jalkot,560578,Loni,लोणी,Inhabitant
Jalkot,560579,Marsangvi,मरसांगवी,Inhabitant
Jalkot,560580,Mavalgaon,मावळगाव,Inhabitant
Jalkot,560581,Melgaon,मेळगाव,Inhabitant
Jalkot,560582,Patoda b.,पाटोदा बु.,Inhabitant
Jalkot,560583,Patoda kh.,पाटोदा खु.,Inhabitant
Jalkot,560584,Rawankola,रावणकोळा,Inhabitant
Jalkot,560585,Rui,रुई,Inhabitant
Jalkot,560586,Saraswatiवाडी,सरस्वतीवाडी,Inhabitant
Jalkot,560587,Sawargaon,सावरगाव,Inhabitant
Jalkot,560588,Shelga c.,शेलगाव (चा),Inhabitant
Jalkot,560589,Shindnav,शिंदनवा,Inhabitant
Jalkot,560590,Shivapur,शिवापूर,Inhabitant
Jalkot,560591,Sonwala,सोनवळा,Inhabitant
Jalkot,560592,Sorga,सोरगा,Inhabitant
Jalkot,560593,Suhal,सुहाळ,Inhabitant
Jalkot,560594,Talegaon b.,तळेगाव बु.,Inhabitant
Jalkot,560595,Tiruka,तिरुका,Inhabitant
Jalkot,560596,Vaddawadi,वड्डावाडी,Inhabitant
Jalkot,560597,Wagdhara,वाघधरा,Inhabitant
Jalkot,560598,Yeldara,येलदरा,Inhabitant
Jalkot,560599,Yevatmal,यवतमाळ,Inhabitant
Latur,560594,Talegaon b.,तळेगाव बु.,Inhabitant
Latur,560600,Akoli,अकोली,Inhabitant
Latur,560601,Ambajogaiवाडी,आंबाजोगाईवाडी,Inhabitant
Latur,560602,Arvi,आरवी,Inhabitant
Latur,560603,Babhalgaon,बाभळगाव,Inhabitant
Latur,560604,Bale,बाळे,Inhabitant
Latur,560605,Bamhni,बाम्हणी,Inhabitant
Latur,560606,Bhadgaon,भादगाव,Inhabitant
Latur,560607,Bhatangali,भातांगली,Inhabitant
Latur,560608,Bhatkheda,भातक्युडा,Inhabitant
Latur,560609,Bhopla,भोपळा,Inhabitant
Latur,560610,Bori,बोरी,Inhabitant
Latur,560611,Borgaon b.,बोरगाव बु.,Inhabitant
Latur,560612,Borgaon kh.,बोरगाव खु.,Inhabitant
Latur,560613,Borgaon k.,बोरगाव का.,Inhabitant
Latur,560614,Bori r.,बोरी रा.,Inhabitant
Latur,560615,Bormalwadi,बोरमाळवाडी,Inhabitant
Latur,560616,Borwanti,बोरवंती,Inhabitant
Latur,560617,Budhoda,बुधोडा,Inhabitant
Latur,560618,Chikhalthana,चिखलठाणा,Inhabitant
Latur,560619,Chincholi r.,चिंचोली रा.,Inhabitant
Latur,560620,Chincholi b.,चिंचोली बु.,Inhabitant
Latur,560621,Chincholirav,चिंचोलीराव,Inhabitant
Latur,560622,Dakov,डाकोव,Inhabitant
Latur,560623,Dalnavadi,दळणवाडी,Inhabitant
Latur,560624,Dhaka,ढाका,Inhabitant
Latur,560625,Dhanegaon,धनेगाव,Inhabitant
Latur,560626,Dhoki,ढोकी,Inhabitant
Latur,560627,Dilalpur,दिलालपूर,Inhabitant
Latur,560628,Dongargaon,डोंगरगाव,Inhabitant
Latur,560629,Dongargaon s.,डोंगरगाव शि.,Inhabitant
Latur,560630,Ekurgi,एकूर्गी,Inhabitant
Latur,560631,Gabarwadi,गाबरवाडी,Inhabitant
Latur,560632,Gadhiwad,गाढीवाड,Inhabitant
Latur,560633,Gondri,गोंद्री,Inhabitant
Latur,560634,Gungagaon,गुळगा,Inhabitant
Latur,560635,Harangul b.,हरंगुळ बु.,Inhabitant
Latur,560636,Harangul kh.,हरंगुळ खु.,Inhabitant
Latur,560637,Hisamabad,हिसामाबाद,Inhabitant
Latur,560638,Jamga,जामगा,Inhabitant
Latur,560639,Jaswandi,जसवंडी,Inhabitant
Latur,560640,Jeur,जेऊर,Inhabitant
Latur,560641,Kadamवाडी,कदमवाडी,Inhabitant
Latur,560642,Kallamb,कळंब,Inhabitant
Latur,560643,Kallamwadi,कळंबवाडी,Inhabitant
Latur,560644,Kanadi b.,कनाडी बु.,Inhabitant
Latur,560645,Kanadi kh.,कनाडी खु.,Inhabitant
Latur,560646,Khandapur,खांदापूर,Inhabitant
Latur,560647,Khulgapur,खुलगापूर,Inhabitant
Latur,560648,Khurdali,खुर्दळी,Inhabitant
Latur,560649,Kini,किनी,Inhabitant
Latur,560650,Kava,कावा,Inhabitant
Latur,944219,Latur,लातूर,Inhabitant
Latur,560651,Mahada,महाडा,Inhabitant
Latur,560652,Mahapur,महापूर,Inhabitant
Latur,560653,Malbegaon,माळबेगाव,Inhabitant
Latur,560654,Malivati,माळवती,Inhabitant
Latur,560655,Manjri,मांजरी,Inhabitant
Latur,560656,Maramga,मरामगा,Inhabitant
Latur,560657,Mardi,मर्दी,Inhabitant
Latur,560658,Mhasnal,म्हासनाळ,Inhabitant
Latur,560659,Murud,मुरुड,Inhabitant
Latur,560660,Murud akoli,मुरुड अकोली,Inhabitant
Latur,560661,Muslaj,मुसळाज,Inhabitant
Latur,560662,Nagjhari,नागझरी,Inhabitant
Latur,560663,Nandgaon,नांदगाव,Inhabitant
Latur,560664,Niwada,निवाडा,Inhabitant
Latur,560665,Pakharsangvi,पाखरसांगवी,Inhabitant
Latur,560666,Pangri,पांगरी,Inhabitant
Latur,560667,Pipalgaon,पिंपळगाव,Inhabitant
Latur,560668,Raiwadi,रायवाडी,Inhabitant
Latur,560669,Rameshwar,रामेश्वर,Inhabitant
Latur,560670,Rui,रुई,Inhabitant
Latur,560671,Salga,साळगा,Inhabitant
Latur,560672,Samargavan,सामरगव्हान,Inhabitant
Latur,560673,Sarola,सारोळा,Inhabitant
Latur,560674,Savareshwar,सावरेेश्वर,Inhabitant
Latur,560675,Sawargaon,सावरगाव,Inhabitant
Latur,560676,Scindala thot,शिंदाळाथोट,Inhabitant
Latur,560677,Scindala nav,शिंदाळानवा,Inhabitant
Latur,560759,Gharani,घरणी,Inhabitant
Latur,560837,Sikandarpur,सिकंदरपूर,Inhabitant
Latur,560838,Sirsa,शिरसा,Inhabitant
Latur,560839,Sonvati,सोनवती,Inhabitant
Latur,560840,Taka,ताका,Inhabitant
Latur,560841,Takali,टाकळी,Inhabitant
Latur,560842,Tambala,तांबळा,Inhabitant
Latur,560843,Tandulja,तांदुळजा,Inhabitant
Latur,560844,Tandulwadi,तांदुळवाडी,Inhabitant
Latur,560845,Tewari,तेवरी,Inhabitant
Latur,560846,Ukka,उक्का,Inhabitant
Latur,560847,Umarvadi,उमरवाडी,Inhabitant
Latur,560848,Vaddawadi,वड्डावाडी,Inhabitant
Latur,560849,Vagholi,वाघोली,Inhabitant
Latur,560850,Vanjarkheda,वाणजारखेडा,Inhabitant
Latur,560851,Vasangaon,वासणगाव,Inhabitant
Latur,560852,Vilaspur,विलासपूर,Inhabitant
Latur,560853,Vithalwadi,विठ्ठलवाडी,Inhabitant
Latur,560854,Wadi,वाडी,Inhabitant
Latur,560855,Wagholi,वाघोली,Inhabitant
Latur,560856,Yavali,यावली,Inhabitant
Latur,560857,Yelis,येळीस,Inhabitant
